C_REGION,ESTACION,PROGRAMA,CRUCERO,F_MUESTREO,AÑO,MES,DIRECCION,V_MS
12,M34,1,CRUCERO 10,2007/02/21,2007,FEBRERO,S,1.36
12,M40,1,CRUCERO 10,2007/02/22,2007,FEBRERO,NO,2.64
12,M41,1,CRUCERO 10,2007/02/22,2007,FEBRERO,NE,1.25
12,M43,1,CRUCERO 10,2007/02/23,2007,FEBRERO,NO,1.84
12,M44,1,CRUCERO 10,2007/02/23,2007,FEBRERO,E,3.55
12,M45,1,CRUCERO 10,2007/02/23,2007,FEBRERO,NE,8.65
12,M46,1,CRUCERO 10,2007/02/23,2007,FEBRERO,E,7.25
12,M42,1,CRUCERO 10,2007/02/21,2007,FEBRERO,NE,6.35
10,L01,1,CRUCERO 2,2006/06/15,2006,JUNIO,NE,
10,L02,1,CRUCERO 2,2006/06/14,2006,JUNIO,NE,
10,L02N1,1,CRUCERO 2,2006/06/14,2006,JUNIO,N,
10,L02N2,1,CRUCERO 2,2006/07/03,2006,JULIO,N,
10,L02N3,1,CRUCERO 2,2006/06/14,2006,JUNIO,NE,
10,L03,1,CRUCERO 2,2006/06/15,2006,JUNIO,,
10,L03N1,1,CRUCERO 2,,2006,,E,
10,L04,1,CRUCERO 2,2006/07/04,2006,JULIO,,
10,L04N1,1,CRUCERO 2,2006/06/22,2006,JUNIO,E,
10,L05,1,CRUCERO 2,2006/07/04,2006,JULIO,O,
10,L06,1,CRUCERO 2,2006/06/29,2006,JUNIO,NO,
10,L06N1,1,CRUCERO 2,,2006,,,
10,L07,1,CRUCERO 2,2006/06/16,2006,JUNIO,N,
10,L08,1,CRUCERO 2,2006/06/17,2006,JUNIO,N,
10,L09,1,CRUCERO 2,2006/06/17,2006,JUNIO,N,
10,L10,1,CRUCERO 2,,2006,,,
10,L10N1,1,CRUCERO 2,2006/06/18,2006,JUNIO,NO,
10,L10N2,1,CRUCERO 2,,2006,,NO,
10,L10N3,1,CRUCERO 2,,2006,,,
10,L11,1,CRUCERO 2,2006/06/19,2006,JUNIO,NO,
10,L12,1,CRUCERO 2,2006/06/19,2006,JUNIO,NO,
10,L13,1,CRUCERO 2,2006/06/18,2006,JUNIO,NO,
10,L14,1,CRUCERO 2,2006/06/18,2006,JUNIO,NO,
10,L15,1,CRUCERO 2,2006/06/22,2006,JUNIO,O,
10,L16,1,CRUCERO 2,2006/06/26,2006,JUNIO,O,
10,L17,1,CRUCERO 2,,2006,,,
10,L18,1,CRUCERO 2,2006/06/22,2006,JUNIO,N,
10,L18N1,1,CRUCERO 2,,2006,,SO,
10,L18N2,1,CRUCERO 2,2006/06/22,2006,JUNIO,N,
10,L19,1,CRUCERO 2,2006/06/22,2006,JUNIO,NE,
10,L19N1,1,CRUCERO 2,2006/06/25,2006,JUNIO,NE,
10,L19N2,1,CRUCERO 2,2006/06/25,2006,JUNIO,N,
10,L20,1,CRUCERO 2,2006/06/23,2006,JUNIO,NE,
10,L21,1,CRUCERO 2,2006/06/25,2006,,,
